scrapeTime,resultTime,temp
2025-06-15T19:45:47.971Z,2025-06-15T19:45:16.656Z,24.3
2025-06-15T20:35:39.193Z,2025-06-15T20:32:25.562Z,23.8
2025-06-15T20:40:19.893Z,2025-06-15T20:38:27.925Z,23.8
2025-06-15T21:15:25.234Z,2025-06-15T21:12:32.837Z,23.9
2025-06-15T22:16:04.896Z,2025-06-15T22:15:29.168Z,23.8
2025-06-15T23:15:51.426Z,2025-06-15T23:15:19.890Z,23.6
2025-06-16T01:27:29.180Z,2025-06-16T01:26:23.432Z,20.4
2025-06-16T03:20:05.658Z,2025-06-16T03:19:26.278Z,17.5
2025-06-16T04:30:20.719Z,2025-06-16T04:29:26.952Z,17.2
2025-06-16T05:19:28.072Z,2025-06-16T05:18:51.639Z,14.6
2025-06-16T06:28:11.006Z,2025-06-16T06:27:51.799Z,13.9
2025-06-16T07:19:10.975Z,2025-06-16T07:18:26.516Z,13.5
2025-06-16T08:25:30.122Z,2025-06-16T08:24:28.043Z,13.0
2025-06-16T09:20:43.848Z,2025-06-16T09:20:08.988Z,14.6
2025-06-16T10:19:50.590Z,2025-06-16T10:18:06.703Z,14.3
2025-06-16T11:15:45.748Z,2025-06-16T11:15:18.623Z,18.2
2025-06-16T12:37:43.423Z,2025-06-16T12:35:25.651Z,20.8
2025-06-16T13:32:15.759Z,2025-06-16T13:31:18.958Z,21.4
2025-06-16T14:18:05.320Z,2025-06-16T14:17:22.888Z,23.1
2025-06-16T15:19:45.120Z,2025-06-16T15:19:26.060Z,25.2
2025-06-16T16:22:48.938Z,2025-06-16T16:22:27.229Z,25.5
2025-06-16T17:16:08.323Z,2025-06-16T17:15:45.897Z,25.9
2025-06-16T18:25:50.191Z,2025-06-16T18:25:21.527Z,25.6
2025-06-16T19:13:42.560Z,2025-06-16T19:12:37.252Z,26.6
2025-06-16T20:19:54.380Z,2025-06-16T20:19:24.735Z,26.7
2025-06-16T21:16:50.364Z,2025-06-16T21:16:25.298Z,26.7
2025-06-16T22:17:09.066Z,2025-06-16T22:15:27.361Z,26.4
2025-06-16T23:16:29.669Z,2025-06-16T23:15:29.442Z,26.3
2025-06-17T01:25:16.114Z,2025-06-17T01:24:40.714Z,24.4
2025-06-17T03:16:10.805Z,2025-06-17T03:15:09.317Z,23.0
2025-06-17T04:26:24.787Z,2025-06-17T04:25:28.416Z,22.3
2025-06-17T05:17:35.592Z,2025-06-17T05:17:25.818Z,22.5
2025-06-17T06:26:48.010Z,2025-06-17T06:26:26.668Z,21.7
2025-06-17T07:17:36.102Z,2025-06-17T07:16:26.378Z,21.2
2025-06-17T08:24:57.973Z,2025-06-17T08:23:42.565Z,20.3
2025-06-17T09:19:48.660Z,2025-06-17T09:19:24.799Z,20.3
2025-06-17T10:19:42.062Z,2025-06-17T10:16:36.586Z,20.8
2025-06-17T11:15:29.253Z,2025-06-17T11:14:00.499Z,20.0
2025-06-17T12:37:35.856Z,2025-06-17T12:36:24.074Z,21.0